,cat119_train.tm,cat119_train.address_city,cat119_train.address_gu,cat119_train.sub_address,cat119_train.cat,cat119_train.sub_cat,cat119_train.stn,cat119_train.call_count
1,20200501,부산광역시,강서구,대저2동,구급,교통사고,904,1
2,20200501,부산광역시,강서구,천성동,구조,교통사고,921,1
3,20200501,부산광역시,금정구,금사동,구급,부상,940,1
4,20200501,부산광역시,금정구,금성동,기타,업무운행,941,1
5,20200501,부산광역시,금정구,남산동,구급,부상,939,1
6,20200501,부산광역시,금정구,남산동,기타,업무운행,939,2
7,20200501,부산광역시,금정구,부곡동,구급,부상,940,1
8,20200501,부산광역시,금정구,장전동,구급,교통사고,940,1
9,20200501,부산광역시,기장군,기장읍,구급,교통사고,923,1
10,20200501,부산광역시,기장군,일광면,구급,부상,923,1
11,20200501,부산광역시,기장군,일광면,구조,산악사고,923,1
12,20200501,부산광역시,기장군,장안읍,화재,산불,923,1
13,20200501,부산광역시,남구,감만동,기타,업무운행,942,1
14,20200501,부산광역시,남구,문현동,구급,부상,942,3
15,20200501,부산광역시,남구,용호동,구급,교통사고,942,3
16,20200501,부산광역시,남구,용호동,구급,부상,942,1
17,20200501,부산광역시,동구,범일동,기타,업무운행,942,1
18,20200501,부산광역시,동구,수정동,구급,교통사고,159,1
19,20200501,부산광역시,동구,좌천동,구급,부상,942,1
20,20200501,부산광역시,동구,초량동,구급,부상,159,2
21,20200501,부산광역시,동래구,명장동,구급,교통사고,940,1
22,20200501,부산광역시,동래구,명장동,구급,부상,940,1
23,20200501,부산광역시,동래구,명장동,기타,업무운행,940,1
24,20200501,부산광역시,동래구,안락동,구급,부상,940,1
25,20200501,부산광역시,동래구,온천동,기타,업무운행,940,2
26,20200501,부산광역시,부산진구,가야동,구급,부상,938,2
27,20200501,부산광역시,부산진구,가야동,기타,업무운행,938,1
28,20200501,부산광역시,부산진구,부암동,구급,부상,938,1
29,20200501,부산광역시,부산진구,부전동,구급,교통사고,938,2
30,20200501,부산광역시,북구,금곡동,구급,부상,941,1
31,20200501,부산광역시,북구,만덕동,구조,산악사고,941,1
32,20200501,부산광역시,북구,만덕동,기타,업무운행,941,1
33,20200501,부산광역시,북구,화명동,구급,부상,941,1
34,20200501,부산광역시,북구,화명동,기타,업무운행,941,1
35,20200501,부산광역시,사상구,괘법동,구급,교통사고,904,1
36,20200501,부산광역시,사상구,모라동,구급,부상,904,1
37,20200501,부산광역시,사상구,삼락동,구급,부상,904,1
38,20200501,부산광역시,사상구,엄궁동,구급,부상,904,1
39,20200501,부산광역시,사상구,학장동,구급,교통사고,904,1
40,20200501,부산광역시,사하구,감천동,구급,부상,159,1
41,20200501,부산광역시,사하구,다대동,구급,교통사고,950,1
42,20200501,부산광역시,사하구,신평동,구급,부상,950,1
43,20200501,부산광역시,사하구,장림동,구급,부상,950,1
44,20200501,부산광역시,서구,아미동,구급,교통사고,159,1
45,20200501,부산광역시,서구,암남동,구급,부상,159,1
46,20200501,부산광역시,수영구,광안동,구급,부상,937,1
47,20200501,부산광역시,수영구,남천동,구급,교통사고,937,1
48,20200501,부산광역시,수영구,남천동,구급,부상,937,1
49,20200501,부산광역시,수영구,망미동,구급,교통사고,940,1
50,20200501,부산광역시,수영구,망미동,구급,부상,940,1
51,20200501,부산광역시,수영구,민락동,구급,부상,937,1
52,20200501,부산광역시,연제구,연산동,구급,교통사고,940,1
53,20200501,부산광역시,연제구,연산동,구급,부상,940,4
54,20200501,부산광역시,연제구,연산동,기타,업무운행,940,4
55,20200501,부산광역시,영도구,남항동,구급,부상,159,1
56,20200501,부산광역시,영도구,대교동,구급,부상,159,1
57,20200501,부산광역시,영도구,동삼동,구급,교통사고,910,2
58,20200501,부산광역시,영도구,동삼동,구급,부상,910,3
59,20200501,부산광역시,영도구,신선동,구급,교통사고,159,1
60,20200501,부산광역시,중구,남포동,구급,교통사고,159,1
61,20200501,부산광역시,중구,남포동,구급,구급기타,159,1
62,20200501,부산광역시,중구,중앙동,기타,대민지원,159,1
63,20200501,부산광역시,해운대구,반송동,구급,부상,937,1
64,20200501,부산광역시,해운대구,반송동,기타,업무운행,937,1
65,20200501,부산광역시,해운대구,반여동,구급,부상,937,1
66,20200501,부산광역시,해운대구,송정동,구조,수난사고,937,1
67,20200501,부산광역시,해운대구,재송동,구급,교통사고,937,2
68,20200501,부산광역시,해운대구,재송동,구조,교통사고,937,1
69,20200501,부산광역시,해운대구,좌동,구급,교통사고,937,1
70,20200501,부산광역시,해운대구,중동,구급,구급기타,937,1
71,20200502,부산광역시,강서구,대저1동,구급,부상,904,1
72,20200502,부산광역시,강서구,대저1동,기타,상황출동,904,1
73,20200502,부산광역시,강서구,명지동,구급,부상,904,2
74,20200502,부산광역시,강서구,생곡동,구급,교통사고,904,1
75,20200502,부산광역시,강서구,생곡동,구조,교통사고,904,1
76,20200502,부산광역시,강서구,송정동,구급,교통사고,937,2
77,20200502,부산광역시,강서구,신호동,구급,부상,950,2
78,20200502,부산광역시,강서구,천성동,구급,부상,921,1
79,20200502,부산광역시,금정구,두구동,구급,부상,939,1
80,20200502,부산광역시,금정구,청룡동,구급,부상,939,1
81,20200502,부산광역시,기장군,일광면,기타,업무운행,923,1
82,20200502,부산광역시,기장군,정관읍,기타,업무운행,923,1
83,20200502,부산광역시,기장군,철마면,구급,교통사고,939,1
84,20200502,부산광역시,남구,대연동,구급,교통사고,942,4
85,20200502,부산광역시,남구,용호동,구급,부상,942,1
86,20200502,부산광역시,동구,수정동,구급,부상,159,1
87,20200502,부산광역시,동구,초량동,구급,교통사고,159,1
88,20200502,부산광역시,동구,초량동,구급,부상,159,1
89,20200502,부산광역시,동래구,명장동,구급,부상,940,1
90,20200502,부산광역시,동래구,명장동,기타,업무운행,940,1
91,20200502,부산광역시,동래구,안락동,구급,교통사고,940,1
92,20200502,부산광역시,동래구,온천동,구급,부상,940,3
93,20200502,부산광역시,부산진구,개금동,구급,교통사고,938,1
94,20200502,부산광역시,부산진구,개금동,구급,부상,938,2
95,20200502,부산광역시,부산진구,개금동,구조,자연재해,938,1
96,20200502,부산광역시,부산진구,당감동,구급,교통사고,938,2
97,20200502,부산광역시,부산진구,부전동,구급,교통사고,938,2
98,20200502,부산광역시,부산진구,부전동,구급,부상,938,2
99,20200502,부산광역시,부산진구,전포동,구급,부상,938,1
100,20200502,부산광역시,북구,구포동,구급,교통사고,941,1
101,20200502,부산광역시,북구,구포동,구급,부상,941,2
102,20200502,부산광역시,북구,금곡동,구급,부상,941,1
103,20200502,부산광역시,북구,화명동,구급,교통사고,941,1
104,20200502,부산광역시,사상구,덕포동,기타,상황출동,904,1
105,20200502,부산광역시,사상구,학장동,기타,상황출동,904,1
106,20200502,부산광역시,사하구,괴정동,구급,부상,950,2
107,20200502,부산광역시,사하구,구평동,구급,부상,159,1
108,20200502,부산광역시,사하구,다대동,구급,부상,950,1
109,20200502,부산광역시,사하구,장림동,구급,교통사고,950,3
110,20200502,부산광역시,사하구,하단동,구조,교통사고,950,1
111,20200502,부산광역시,서구,남부민동,기타,상황출동,159,1
112,20200502,부산광역시,서구,암남동,기타,상황출동,159,1
113,20200502,부산광역시,서구,충무동,구급,부상,159,1
114,20200502,부산광역시,수영구,광안동,구급,교통사고,937,1
115,20200502,부산광역시,수영구,망미동,구급,부상,940,1
116,20200502,부산광역시,수영구,망미동,기타,상황출동,940,1
117,20200502,부산광역시,수영구,민락동,구급,교통사고,937,1
118,20200502,부산광역시,연제구,거제동,구급,부상,940,1
119,20200502,부산광역시,연제구,연산동,구급,교통사고,940,3
120,20200502,부산광역시,연제구,연산동,구급,부상,940,2
121,20200502,부산광역시,영도구,남항동,구급,부상,159,1
122,20200502,부산광역시,영도구,대평동,구조,수난사고,159,1
123,20200502,부산광역시,영도구,동삼동,구급,부상,910,1
124,20200502,부산광역시,중구,영주동,구급,교통사고,159,1
125,20200502,부산광역시,해운대구,반여동,구급,부상,937,1
126,20200502,부산광역시,해운대구,우동,구조,산악사고,937,1
127,20200502,부산광역시,해운대구,우동,구조,수난사고,937,2
128,20200502,부산광역시,해운대구,재송동,구조,교통사고,937,1
129,20200502,부산광역시,해운대구,좌동,구급,교통사고,937,1
130,20200502,부산광역시,해운대구,중동,구급,부상,937,2
131,20200503,부산광역시,강서구,대저1동,구조,교통사고,904,2
132,20200503,부산광역시,강서구,대저2동,구급,교통사고,904,1
133,20200503,부산광역시,강서구,명지동,구급,부상,904,1
134,20200503,부산광역시,강서구,봉림동,구조,교통사고,904,1
135,20200503,부산광역시,강서구,신호동,구조,교통사고,950,1
136,20200503,부산광역시,금정구,남산동,구급,부상,939,1
137,20200503,부산광역시,금정구,부곡동,구급,부상,940,1
138,20200503,부산광역시,금정구,서동,구급,교통사고,940,1
139,20200503,부산광역시,금정구,서동,구급,부상,940,1
140,20200503,부산광역시,금정구,장전동,구급,부상,940,1
141,20200503,부산광역시,기장군,기장읍,구급,부상,923,2
142,20200503,부산광역시,기장군,기장읍,구조,교통사고,923,1
143,20200503,부산광역시,기장군,장안읍,구급,부상,923,1
144,20200503,부산광역시,기장군,정관읍,구급,교통사고,923,1
145,20200503,부산광역시,기장군,정관읍,기타,업무운행,923,1
146,20200503,부산광역시,남구,문현동,구급,교통사고,942,1
147,20200503,부산광역시,남구,용당동,구급,부상,942,1
148,20200503,부산광역시,동구,범일동,구급,부상,942,2
149,20200503,부산광역시,동구,초량동,구급,부상,159,1
150,20200503,부산광역시,동래구,명장동,구급,교통사고,940,1
151,20200503,부산광역시,동래구,수안동,구급,부상,940,1
152,20200503,부산광역시,동래구,온천동,구급,부상,940,2
153,20200503,부산광역시,부산진구,가야동,구급,부상,938,1
154,20200503,부산광역시,부산진구,개금동,구급,교통사고,938,2
155,20200503,부산광역시,부산진구,범천동,구급,부상,942,1
156,20200503,부산광역시,부산진구,양정동,기타,업무운행,940,1
157,20200503,부산광역시,북구,화명동,구급,부상,941,1
158,20200503,부산광역시,사상구,감전동,구급,부상,904,1
159,20200503,부산광역시,사상구,덕포동,구급,부상,904,1
160,20200503,부산광역시,사상구,모라동,구급,부상,904,2
161,20200503,부산광역시,사상구,주례동,구급,교통사고,938,1
162,20200503,부산광역시,사상구,주례동,구급,부상,938,2
163,20200503,부산광역시,사상구,학장동,구급,교통사고,904,1
164,20200503,부산광역시,사하구,감천동,구급,부상,159,1
165,20200503,부산광역시,사하구,괴정동,구급,부상,950,2
166,20200503,부산광역시,사하구,다대동,구급,교통사고,950,1
167,20200503,부산광역시,사하구,다대동,구급,부상,950,2
168,20200503,부산광역시,사하구,신평동,구급,부상,950,1
169,20200503,부산광역시,사하구,신평동,구조,교통사고,950,1
170,20200503,부산광역시,사하구,신평동,기타,업무운행,950,2
171,20200503,부산광역시,사하구,하단동,구급,부상,950,2
172,20200503,부산광역시,서구,동대신동,구급,부상,159,1
173,20200503,부산광역시,서구,서대신동,구급,부상,159,1
174,20200503,부산광역시,서구,암남동,구급,구급기타,159,1
175,20200503,부산광역시,서구,충무동,구급,교통사고,159,1
176,20200503,부산광역시,서구,충무동,구급,부상,159,1
177,20200503,부산광역시,수영구,광안동,기타,상황출동,937,1
178,20200503,부산광역시,수영구,남천동,기타,상황출동,937,1
179,20200503,부산광역시,연제구,거제동,구급,부상,940,1
180,20200503,부산광역시,연제구,연산동,구급,교통사고,940,1
181,20200503,부산광역시,연제구,연산동,구급,부상,940,1
182,20200503,부산광역시,영도구,동삼동,구급,부상,910,2
183,20200503,부산광역시,영도구,봉래동,구급,교통사고,159,1
184,20200503,부산광역시,중구,대청동,구급,부상,159,1
185,20200503,부산광역시,중구,중앙동,구급,부상,159,1
186,20200503,부산광역시,중구,중앙동,구조,교통사고,159,1
187,20200503,부산광역시,해운대구,반여동,구조,교통사고,937,1
188,20200503,부산광역시,해운대구,우동,구급,교통사고,937,1
189,20200503,부산광역시,해운대구,우동,구급,부상,937,2
190,20200503,부산광역시,해운대구,우동,기타,상황출동,937,1
191,20200503,부산광역시,해운대구,재송동,구조,교통사고,937,1
192,20200504,부산광역시,강서구,강동동,구급,교통사고,904,1
193,20200504,부산광역시,강서구,대저1동,구조,교통사고,904,1
194,20200504,부산광역시,강서구,송정동,구급,부상,937,1
195,20200504,부산광역시,금정구,구서동,구급,부상,940,1
196,20200504,부산광역시,금정구,금사동,기타,상황출동,940,1
