date,is_holiday,holiday_name,tm
2023-05-01,False,,20230501
2023-05-02,False,,20230502
2023-05-03,False,,20230503
2023-05-04,False,,20230504
2023-05-05,True,Children's Day,20230505
2023-05-06,False,,20230506
2023-05-07,False,,20230507
2023-05-08,False,,20230508
2023-05-09,False,,20230509
2023-05-10,False,,20230510
2023-05-11,False,,20230511
2023-05-12,False,,20230512
2023-05-13,False,,20230513
2023-05-14,False,,20230514
2023-05-15,False,,20230515
2023-05-16,False,,20230516
2023-05-17,False,,20230517
2023-05-18,False,,20230518
2023-05-19,False,,20230519
2023-05-20,False,,20230520
2023-05-21,False,,20230521
2023-05-22,False,,20230522
2023-05-23,False,,20230523
2023-05-24,False,,20230524
2023-05-25,False,,20230525
2023-05-26,False,,20230526
2023-05-27,True,Buddha's Birthday,20230527
2023-05-28,False,,20230528
2023-05-29,True,Alternative holiday for Buddha's Birthday,20230529
2023-05-30,False,,20230530
2023-05-31,False,,20230531
2023-06-01,False,,20230601
2023-06-02,False,,20230602
2023-06-03,False,,20230603
2023-06-04,False,,20230604
2023-06-05,False,,20230605
2023-06-06,True,Memorial Day,20230606
2023-06-07,False,,20230607
2023-06-08,False,,20230608
2023-06-09,False,,20230609
2023-06-10,False,,20230610
2023-06-11,False,,20230611
2023-06-12,False,,20230612
2023-06-13,False,,20230613
2023-06-14,False,,20230614
2023-06-15,False,,20230615
2023-06-16,False,,20230616
2023-06-17,False,,20230617
2023-06-18,False,,20230618
2023-06-19,False,,20230619
2023-06-20,False,,20230620
2023-06-21,False,,20230621
2023-06-22,False,,20230622
2023-06-23,False,,20230623
2023-06-24,False,,20230624
2023-06-25,False,,20230625
2023-06-26,False,,20230626
2023-06-27,False,,20230627
2023-06-28,False,,20230628
2023-06-29,False,,20230629
2023-06-30,False,,20230630
2023-07-01,False,,20230701
2023-07-02,False,,20230702
2023-07-03,False,,20230703
2023-07-04,False,,20230704
2023-07-05,False,,20230705
2023-07-06,False,,20230706
2023-07-07,False,,20230707
2023-07-08,False,,20230708
2023-07-09,False,,20230709
2023-07-10,False,,20230710
2023-07-11,False,,20230711
2023-07-12,False,,20230712
2023-07-13,False,,20230713
2023-07-14,False,,20230714
2023-07-15,False,,20230715
2023-07-16,False,,20230716
2023-07-17,False,,20230717
2023-07-18,False,,20230718
2023-07-19,False,,20230719
2023-07-20,False,,20230720
2023-07-21,False,,20230721
2023-07-22,False,,20230722
2023-07-23,False,,20230723
2023-07-24,False,,20230724
2023-07-25,False,,20230725
2023-07-26,False,,20230726
2023-07-27,False,,20230727
2023-07-28,False,,20230728
2023-07-29,False,,20230729
2023-07-30,False,,20230730
2023-07-31,False,,20230731
2023-08-01,False,,20230801
2023-08-02,False,,20230802
2023-08-03,False,,20230803
2023-08-04,False,,20230804
2023-08-05,False,,20230805
2023-08-06,False,,20230806
2023-08-07,False,,20230807
2023-08-08,False,,20230808
2023-08-09,False,,20230809
2023-08-10,False,,20230810
2023-08-11,False,,20230811
2023-08-12,False,,20230812
2023-08-13,False,,20230813
2023-08-14,False,,20230814
2023-08-15,True,Liberation Day,20230815
2023-08-16,False,,20230816
2023-08-17,False,,20230817
2023-08-18,False,,20230818
2023-08-19,False,,20230819
2023-08-20,False,,20230820
2023-08-21,False,,20230821
2023-08-22,False,,20230822
2023-08-23,False,,20230823
2023-08-24,False,,20230824
2023-08-25,False,,20230825
2023-08-26,False,,20230826
2023-08-27,False,,20230827
2023-08-28,False,,20230828
2023-08-29,False,,20230829
2023-08-30,False,,20230830
2023-08-31,False,,20230831
2023-09-01,False,,20230901
2023-09-02,False,,20230902
2023-09-03,False,,20230903
2023-09-04,False,,20230904
2023-09-05,False,,20230905
2023-09-06,False,,20230906
2023-09-07,False,,20230907
2023-09-08,False,,20230908
2023-09-09,False,,20230909
2023-09-10,False,,20230910
2023-09-11,False,,20230911
2023-09-12,False,,20230912
2023-09-13,False,,20230913
2023-09-14,False,,20230914
2023-09-15,False,,20230915
2023-09-16,False,,20230916
2023-09-17,False,,20230917
2023-09-18,False,,20230918
2023-09-19,False,,20230919
2023-09-20,False,,20230920
2023-09-21,False,,20230921
2023-09-22,False,,20230922
2023-09-23,False,,20230923
2023-09-24,False,,20230924
2023-09-25,False,,20230925
2023-09-26,False,,20230926
2023-09-27,False,,20230927
2023-09-28,True,The day preceding Chuseok,20230928
2023-09-29,True,Chuseok,20230929
2023-09-30,True,The second day of Chuseok,20230930
2023-10-01,False,,20231001
2023-10-02,True,Temporary Public Holiday,20231002
2023-10-03,True,National Foundation Day,20231003
2023-10-04,False,,20231004
2023-10-05,False,,20231005
2023-10-06,False,,20231006
2023-10-07,False,,20231007
2023-10-08,False,,20231008
2023-10-09,True,Hangul Day,20231009
2023-10-10,False,,20231010
2023-10-11,False,,20231011
2023-10-12,False,,20231012
2023-10-13,False,,20231013
2023-10-14,False,,20231014
2023-10-15,False,,20231015
2023-10-16,False,,20231016
2023-10-17,False,,20231017
2023-10-18,False,,20231018
2023-10-19,False,,20231019
2023-10-20,False,,20231020
2023-10-21,False,,20231021
2023-10-22,False,,20231022
2023-10-23,False,,20231023
2023-10-24,False,,20231024
2023-10-25,False,,20231025
2023-10-26,False,,20231026
2023-10-27,False,,20231027
2023-10-28,False,,20231028
2023-10-29,False,,20231029
2023-10-30,False,,20231030
2023-10-31,False,,20231031
